Date,^GSPC,^RUT,^NDX
2015-01-02 00:00:00+00:00,2058.199951171875,1198.800048828125,4230.240234375
2015-01-05 00:00:00+00:00,2020.5799560546875,1181.3499755859375,4160.9599609375
2015-01-06 00:00:00+00:00,2002.6099853515625,1161.31005859375,4110.830078125
2015-01-07 00:00:00+00:00,2025.9000244140625,1175.969970703125,4160.0
2015-01-08 00:00:00+00:00,2062.139892578125,1196.1300048828125,4240.5498046875
2015-01-09 00:00:00+00:00,2044.81005859375,1185.6800537109375,4213.27978515625
2015-01-12 00:00:00+00:00,2028.260009765625,1180.0899658203125,4169.97021484375
2015-01-13 00:00:00+00:00,2023.030029296875,1180.6400146484375,4166.2001953125
2015-01-14 00:00:00+00:00,2011.27001953125,1177.06005859375,4145.83984375
2015-01-15 00:00:00+00:00,1992.6700439453125,1154.7099609375,4089.64990234375
2015-01-16 00:00:00+00:00,2019.4200439453125,1176.6500244140625,4142.14013671875
2015-01-20 00:00:00+00:00,2022.550048828125,1170.25,4171.2099609375
2015-01-21 00:00:00+00:00,2032.1199951171875,1166.25,4192.08984375
2015-01-22 00:00:00+00:00,2063.14990234375,1190.3699951171875,4270.35986328125
2015-01-23 00:00:00+00:00,2051.820068359375,1188.9300537109375,4278.14013671875
2015-01-26 00:00:00+00:00,2057.090087890625,1200.739990234375,4275.72021484375
2015-01-27 00:00:00+00:00,2029.550048828125,1194.6600341796875,4165.5
2015-01-28 00:00:00+00:00,2002.1600341796875,1175.1199951171875,4140.3798828125
2015-01-29 00:00:00+00:00,2021.25,1190.1800537109375,4181.35009765625
2015-01-30 00:00:00+00:00,1994.989990234375,1165.3900146484375,4148.43017578125
2015-02-02 00:00:00+00:00,2020.8499755859375,1175.510009765625,4188.58984375
2015-02-03 00:00:00+00:00,2050.030029296875,1196.989990234375,4229.14990234375
2015-02-04 00:00:00+00:00,2041.510009765625,1191.43994140625,4221.2001953125
2015-02-05 00:00:00+00:00,2062.52001953125,1208.7099609375,4256.18017578125
2015-02-06 00:00:00+00:00,2055.469970703125,1205.4599609375,4228.68017578125
2015-02-09 00:00:00+00:00,2046.739990234375,1195.8299560546875,4216.08984375
2015-02-10 00:00:00+00:00,2068.590087890625,1203.1800537109375,4281.16015625
2015-02-11 00:00:00+00:00,2068.530029296875,1201.550048828125,4297.27978515625
2015-02-12 00:00:00+00:00,2088.47998046875,1216.27001953125,4347.97021484375
2015-02-13 00:00:00+00:00,2096.989990234375,1223.1300048828125,4384.02978515625
2015-02-17 00:00:00+00:00,2100.340087890625,1225.010009765625,4385.33984375
2015-02-18 00:00:00+00:00,2099.679931640625,1227.949951171875,4390.91015625
2015-02-19 00:00:00+00:00,2097.449951171875,1227.9100341796875,4411.85986328125
2015-02-20 00:00:00+00:00,2110.300048828125,1231.7900390625,4443.0498046875
2015-02-23 00:00:00+00:00,2109.659912109375,1231.8299560546875,4449.490234375
2015-02-24 00:00:00+00:00,2115.47998046875,1233.97998046875,4451.02978515625
2015-02-25 00:00:00+00:00,2113.860107421875,1235.0999755859375,4440.58984375
2015-02-26 00:00:00+00:00,2110.739990234375,1239.1099853515625,4462.27001953125
2015-02-27 00:00:00+00:00,2104.5,1233.3699951171875,4440.669921875
2015-03-02 00:00:00+00:00,2117.389892578125,1242.6199951171875,4483.0498046875
2015-03-03 00:00:00+00:00,2107.780029296875,1234.760009765625,4458.77978515625
2015-03-04 00:00:00+00:00,2098.530029296875,1230.72998046875,4445.35986328125
2015-03-05 00:00:00+00:00,2101.0400390625,1234.31005859375,4452.06005859375
2015-03-06 00:00:00+00:00,2071.260009765625,1217.52001953125,4399.22998046875
2015-03-09 00:00:00+00:00,2079.429931640625,1223.5899658203125,4412.990234375
2015-03-10 00:00:00+00:00,2044.1600341796875,1208.469970703125,4329.080078125
2015-03-11 00:00:00+00:00,2040.239990234375,1215.780029296875,4305.3798828125
2015-03-12 00:00:00+00:00,2065.949951171875,1236.6400146484375,4336.22998046875
2015-03-13 00:00:00+00:00,2053.39990234375,1232.1400146484375,4314.89990234375
2015-03-16 00:00:00+00:00,2081.18994140625,1239.780029296875,4370.47021484375
2015-03-17 00:00:00+00:00,2074.280029296875,1242.22998046875,4375.6298828125
2015-03-18 00:00:00+00:00,2099.5,1252.1400146484375,4422.5
2015-03-19 00:00:00+00:00,2089.27001953125,1254.8599853515625,4426.81982421875
2015-03-20 00:00:00+00:00,2108.10009765625,1266.3699951171875,4458.5400390625
2015-03-23 00:00:00+00:00,2104.419921875,1264.7099609375,4445.5400390625
2015-03-24 00:00:00+00:00,2091.5,1263.4599609375,4430.990234375
2015-03-25 00:00:00+00:00,2061.050048828125,1233.8499755859375,4329.2900390625
2015-03-26 00:00:00+00:00,2056.14990234375,1231.989990234375,4315.259765625
2015-03-27 00:00:00+00:00,2061.02001953125,1240.4100341796875,4332.85986328125
2015-03-30 00:00:00+00:00,2086.239990234375,1257.800048828125,4382.81982421875
2015-03-31 00:00:00+00:00,2067.889892578125,1252.77001953125,4333.68994140625
2015-04-01 00:00:00+00:00,2059.68994140625,1251.7099609375,4311.259765625
2015-04-02 00:00:00+00:00,2066.9599609375,1255.6600341796875,4316.009765625
2015-04-06 00:00:00+00:00,2080.6201171875,1260.5400390625,4350.97998046875
2015-04-07 00:00:00+00:00,2076.330078125,1253.3599853515625,4344.080078125
2015-04-08 00:00:00+00:00,2081.89990234375,1262.7099609375,4375.9599609375
2015-04-09 00:00:00+00:00,2091.179931640625,1259.1099853515625,4403.9501953125
2015-04-10 00:00:00+00:00,2102.06005859375,1264.77001953125,4422.02001953125
